iter	RMSE
0	49.8959415
1	49.58557055
2	49.30462465
3	49.05218478
4	48.82650627
5	48.63097485
6	48.45532287
7	48.30444409
8	48.19888369
9	48.10984377
10	47.99937742
11	47.92229305
12	47.85437594
13	47.78057577
14	47.70963737
15	47.66097664
16	47.61059978
17	47.56374319
18	47.52202762
19	47.4842443
20	47.46131847
21	47.42594769
22	47.40097977
23	47.37162536
24	47.35144569
25	47.3263165
26	47.30917208
27	47.29940079
28	47.28273334
29	47.26441894
30	47.2512864
31	47.24258084
32	47.22811521
33	47.21426197
34	47.20294983
35	47.18974232
36	47.17982316
37	47.17440693
38	47.1669191
39	47.15892167
40	47.15376401
41	47.14967117
42	47.14360427
43	47.13364907
44	47.12666247
45	47.12204229
46	47.11522973
47	47.10893775
48	47.10519474
49	47.1023528
50	47.09720798
51	47.09552075
52	47.08873575
53	47.08231658
54	47.07555742
55	47.07100998
56	47.06521237
57	47.06247535
58	47.0598092
59	47.05048336
60	47.04624605
61	47.04274585
62	47.03935242
63	47.03500231
64	47.0317739
65	47.0302067
66	47.02338455
67	47.01931604
68	47.01521021
69	47.01233722
70	47.00674637
71	47.00459403
72	46.99986424
73	46.9961624
74	46.99176834
75	46.98767538
76	46.98269545
77	46.97860619
78	46.97323655
79	46.97112701
80	46.96687852
81	46.9647458
82	46.96104118
83	46.95714912
84	46.95303625
85	46.95048575
86	46.94721218
87	46.94183774
88	46.93823727
89	46.93630715
90	46.93180068
91	46.92893808
92	46.92313168
93	46.92005403
94	46.91815221
95	46.91435446
96	46.90908987
97	46.90352044
98	46.90215632
99	46.89699918
100	46.8931603
101	46.89262079
102	46.88791539
103	46.88361836
104	46.87768208
105	46.87448842
106	46.86987713
107	46.86918423
108	46.86688634
109	46.86423614
110	46.858057
111	46.85470003
112	46.8510117
113	46.84889524
114	46.8450724
115	46.83804176
116	46.83162351
117	46.82821879
118	46.82615697
119	46.82349326
120	46.82177432
121	46.82102963
122	46.81516888
123	46.81192035
124	46.8106102
125	46.80712309
126	46.80418234
127	46.80092213
128	46.7984451
129	46.79593416
130	46.78879875
131	46.78317485
132	46.78079157
133	46.77615812
134	46.77412942
135	46.77208142
136	46.76798761
137	46.76258674
138	46.75826438
139	46.75618878
140	46.75360296
141	46.74953938
142	46.7446393
143	46.73972316
144	46.73814523
145	46.73516514
146	46.73160014
147	46.72916334
148	46.72471274
149	46.72256271
150	46.71965874
151	46.71648746
152	46.7098487
153	46.70781719
154	46.70238855
155	46.69701211
156	46.69451505
